creation_date,entity_id,position,impacto,morada,motivo,periodos_condicionamentos,restricao_circulacao,periodos_condicionamentos['date_max']
2021-07-06T15:16:23.000Z,EMEL.condicionamentoTransito.COND-2021-2459-P-2,"{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.166336155,38.73501821],[-9.166407233,38.734973226]]],""type"":""MultiLineString""}]}",Relevante,"Travessa da Rabicha, 74 e 75",OBRA - FAIXA DE RODAGEM,"[{""end_date"":""1784588340000"",""date_min"":""2021-07-21"",""hour_max"":""23:59:00"",""date_max"":""2026-07-20"",""start_date"":""1626822000000"",""hour_min"":""00:00:00""}]",Mantém perfil de via,"[""2026-07-20""]"
2021-09-17T08:50:15.000Z,EMEL.condicionamentoTransito.COND-2021-6360-1,"{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.136508988,38.737754153],[-9.136466073,38.737417313],[-9.136050331,38.73745288]]],""type"":""MultiLineString""}]}",Pouco relevante,"Avenida Manuel da Maia, nº 40/Alameda Afonso Henriques, nº 82",OBRA - PASSEIO E ESTACION.,"[{""end_date"":""1735671600000"",""date_min"":""2021-09-25"",""hour_max"":""19:00:00"",""date_max"":""2024-12-31"",""start_date"":""1632553200000"",""hour_min"":""08:00:00""}]",Estacionamento,"[""2024-12-31""]"
2022-04-28T08:57:52.000Z,EMEL.condicionamentoTransito.COND-2022-2623-1,"{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.189832301,38.771460568],[-9.191025884,38.771113431]]],""type"":""MultiLineString""}]}",Relevante,Rua do Rio Mondego no troço entre a Rua do Rio Ceira e Rua Rio Tejo,OBRA - FAIXA DE RODAGEM,"[{""end_date"":""1735671600000"",""date_min"":""2022-05-16"",""hour_max"":""19:00:00"",""date_max"":""2024-12-31"",""start_date"":""1652684400000"",""hour_min"":""08:00:00""}]",Corte total,"[""2024-12-31""]"
2022-06-01T15:09:24.000Z,EMEL.condicionamentoTransito.COND-2022-2700-2,"{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.168648614,38.736753854],[-9.166508211,38.736887755],[-9.1686808,38.736801975]]],""type"":""MultiLineString""}]}",Relevante,Rua de Campolide,ACESSO DE VEÍCULOS À OBRA,"[{""end_date"":""1754002740000"",""date_min"":""2022-07-04"",""hour_max"":""23:59:00"",""date_max"":""2025-07-31"",""start_date"":""1656889200000"",""hour_min"":""00:00:00""}]",Passeio,"[""2025-07-31""]"
2022-08-05T11:25:06.000Z,EMEL.condicionamentoTransito.COND-2022-4757-1,"{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.154724077,38.709877558],[-9.154718713,38.710097322],[-9.154621011,38.710477313],[-9.154615646,38.710468942],[-9.154612964,38.710473128]]],""type"":""MultiLineString""}]}",Pouco relevante,Rua das Francesinhas,RESERVA DE ESTACIONAMENTO,"[{""end_date"":""1722466740000"",""date_min"":""2022-08-08"",""hour_max"":""23:59:00"",""date_max"":""2024-07-31"",""start_date"":""1659913200000"",""hour_min"":""00:00:00""}]",Estacionamento,"[""2024-07-31""]"
2023-01-26T10:42:22.000Z,EMEL.condicionamentoTransito.COND-2023-523-1,"{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.139605242,38.707963547],[-9.13966425,38.7081132]]],""type"":""MultiLineString""}]}",Relevante,Praça do Municipio Nº 8-13,OBRA - PASSEIO E ESTACION.,"[{""end_date"":""1738367940000"",""date_min"":""2023-02-01"",""hour_max"":""23:59:00"",""date_max"":""2025-01-31"",""start_date"":""1675209600000"",""hour_min"":""00:00:00""}]",Passeio,"[""2025-01-31""]"
2023-02-16T17:44:49.000Z,EMEL.condicionamentoTransito.COND-2023-790-2,"{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.14807454,38.723331254],[-9.147896509,38.723423851],[-9.148076384,38.723330993],[-9.147034514,38.722166716],[-9.14686126,38.722268078],[-9.147488771,38.722970085],[-9.147897012,38.723420451],[-9.147894497,38.723421759],[-9.1468595,38.722270301]]],""type"":""MultiLineString""}]}",Relevante,"Arruamento lateral Av. Liberdade - Quarteirão R. Alexandre
Herculano e a R. Barata Salgueiro - sentido N/S",OBRA - FAIXA DE RODAGEM,"[{""end_date"":""1722898740000"",""date_min"":""2023-02-22"",""hour_max"":""23:59:00"",""date_max"":""2024-08-05"",""start_date"":""1677052800000"",""hour_min"":""08:00:00""}]",Corte total,"[""2024-08-05""]"
2023-03-02T15:52:34.000Z,EMEL.condicionamentoTransito.COND-2021-1924-17,"{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.15808928,38.716756458],[-9.157879397,38.717030613]]],""type"":""MultiLineString""}]}",Pouco relevante, Av.ª Álvares Cabral junto do Liceu Pedro Nunes ,RESERVA DE ESTACIONAMENTO,"[{""end_date"":""1710547140000"",""date_min"":""2023-03-15"",""hour_max"":""23:59:00"",""date_max"":""2024-03-15"",""start_date"":""1678838400000"",""hour_min"":""00:00:00""}]",Estacionamento,"[""2024-03-15""]"
2023-03-02T16:19:02.000Z,EMEL.condicionamentoTransito.COND-2021-1924-18,"{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.156630826,38.711523374],[-9.156083656,38.710990719]]],""type"":""MultiLineString""}]}",Relevante,   Estaleiro Obra na Rua Miguel Entre a Rua Almeida Brandão e o portão do ISEG,CARGAS E DESCARGAS/OBRAS,"[{""end_date"":""1710532800000"",""date_min"":""2023-03-15"",""hour_max"":""20:00:00"",""date_max"":""2024-03-15"",""start_date"":""1678867200000"",""hour_min"":""08:00:00""}]",Estacionamento,"[""2024-03-15""]"
2023-03-02T16:41:46.000Z,EMEL.condicionamentoTransito.COND-2021-1924-19,"{""type"":""GeometryCollection"",""geometries"":[{""coordinates"":[[[-9.156625578,38.71159683],[-9.15547491,38.712339819],[-9.155391761,38.712364934]]],""type"":""MultiLineString""}]}",Relevante,Rua Almeida Brandão entre a Calçada da Estrela e o entroncamento com a Miguel Lupi,RESERVA DE ESTACIONAMENTO,"[{""end_date"":""1710532800000"",""date_min"":""2023-03-15"",""hour_max"":""20:00:00"",""date_max"":""2024-03-15"",""start_date"":""1678838400000"",""hour_min"":""00:00:00""}]",Estacionamento,"[""2024-03-15""]"
